"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","100nF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
"2","C3, C4","2","220uF","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"3","JP5","1","POWER IN","TerminalBlock:TerminalBlock_bornier-3_P5.08mm",""
"4","JPHP1","1","VOHP","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"5","JPLP1","1","VOLP","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"6","JPVI1, JPVITP1","2","VI","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"7","JPVO1","1","VO","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"8","R1, R2, R3, R4, R5, R6","6","1Meg","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"9","R10","1","6K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"10","R12, R13, R15","3","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"11","R14","1","9K1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"12","RV3","1","0-250K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"13","U1","1","UAF42AP","UAF42:N14",""
